,top_or_bottom,rank,latent_feature_index,group_median_views
0,top,0,64712,38685.0
1,top,1,57949,30013.0
2,top,2,24022,29349.0
3,top,3,37074,29290.0
4,top,4,42335,27361.0
5,top,5,41770,26509.0
6,top,6,45287,26474.0
7,top,7,61533,25900.0
8,top,8,35877,25039.0
9,top,9,47845,25039.0
10,top,10,16720,24601.0
11,top,11,6786,24010.0
12,top,12,61735,23654.0
13,top,13,31334,22870.0
14,top,14,51205,22326.0
15,top,15,21825,22063.0
16,top,16,21633,22052.0
17,top,17,55427,21293.0
18,top,18,32979,21148.0
19,top,19,54582,20890.0
20,top,20,60499,20482.0
21,top,21,5845,20182.0
22,top,22,47958,19998.0
23,top,23,15357,18544.0
24,top,24,1367,18499.0
25,top,25,23191,18488.0
26,top,26,28074,18242.0
27,top,27,60419,18017.0
28,top,28,6101,17711.0
29,top,29,2387,17554.0
30,top,30,57717,17295.0
31,top,31,12316,17280.0
32,top,32,51994,17017.0
33,top,33,54216,17011.0
34,top,34,60156,16639.0
35,top,35,126,16471.0
36,top,36,16988,16358.0
37,top,37,6565,16159.0
38,top,38,43110,15701.0
39,top,39,2568,15564.0
40,top,40,21008,15552.0
41,top,41,4873,15466.0
42,top,42,49254,15453.0
43,top,43,40692,15417.0
44,top,44,7475,15417.0
45,top,45,34300,15379.0
46,top,46,41690,15373.0
47,top,47,6345,15280.0
48,top,48,8602,15267.0
49,top,49,7511,14778.0
50,top,50,41962,14420.0
51,top,51,42731,14383.0
52,top,52,62578,14345.0
53,top,53,2869,14333.0
54,top,54,33985,14191.0
55,top,55,33488,14172.0
56,top,56,20289,14161.0
57,top,57,31878,14128.0
58,top,58,3298,14113.0
59,top,59,63353,14049.0
60,top,60,37103,14026.0
61,top,61,34947,14016.0
62,top,62,49984,13674.0
63,top,63,3926,13652.0
64,top,64,52717,13470.0
65,top,65,13669,13455.0
66,top,66,34034,13444.0
67,top,67,43735,13423.0
68,top,68,56655,13410.0
69,top,69,10249,13358.0
70,top,70,1440,13342.0
71,top,71,46114,13306.0
72,top,72,18752,13273.0
73,top,73,25210,13238.0
74,top,74,21284,13196.0
75,top,75,54457,13165.0
76,top,76,39186,13085.0
77,top,77,53887,13038.0
78,top,78,18820,12917.0
79,top,79,55658,12911.0
80,top,80,17441,12822.0
81,top,81,59492,12790.0
82,top,82,18158,12789.0
83,top,83,30917,12770.0
84,top,84,24097,12764.0
85,top,85,59096,12722.0
86,top,86,16004,12674.0
87,top,87,19111,12612.0
88,top,88,35834,12554.0
89,top,89,20059,12550.0
90,top,90,5009,12467.0
91,top,91,62533,12425.0
92,top,92,56710,12393.0
93,top,93,63838,12309.0
94,top,94,10333,12242.0
95,top,95,10595,12229.0
96,top,96,35325,12196.0
97,top,97,20667,12194.0
98,top,98,48953,12176.0
99,top,99,39245,12117.0
100,bottom,0,21192,2071.0
101,bottom,1,43068,2100.0
102,bottom,2,16011,2128.0
103,bottom,3,25748,2184.0
104,bottom,4,18964,2432.0
105,bottom,5,27249,2673.0
106,bottom,6,38984,2795.0
107,bottom,7,46586,2823.0
108,bottom,8,43259,2850.0
109,bottom,9,43758,2883.0
110,bottom,10,54759,2903.0
111,bottom,11,49389,3054.0
112,bottom,12,11042,3126.0
113,bottom,13,4573,3162.0
114,bottom,14,14500,3270.0
115,bottom,15,21004,3282.0
116,bottom,16,8960,3304.0
117,bottom,17,28036,3312.0
118,bottom,18,1783,3335.0
119,bottom,19,19808,3345.0
120,bottom,20,38681,3345.0
121,bottom,21,37901,3359.0
122,bottom,22,39874,3377.0
123,bottom,23,13881,3402.0
124,bottom,24,55256,3417.0
125,bottom,25,14348,3419.0
126,bottom,26,63532,3423.0
127,bottom,27,57158,3438.0
128,bottom,28,30136,3440.0
129,bottom,29,26615,3441.0
130,bottom,30,12614,3450.0
131,bottom,31,32454,3451.0
132,bottom,32,37045,3472.0
133,bottom,33,30337,3491.0
134,bottom,34,55303,3492.0
135,bottom,35,36261,3520.0
136,bottom,36,62791,3544.0
137,bottom,37,20372,3553.0
138,bottom,38,59282,3553.0
139,bottom,39,30475,3559.0
140,bottom,40,5863,3560.0
141,bottom,41,13190,3584.0
142,bottom,42,62619,3600.0
143,bottom,43,11921,3608.0
144,bottom,44,6356,3620.0
145,bottom,45,45005,3620.0
146,bottom,46,63605,3638.0
147,bottom,47,31163,3654.0
148,bottom,48,4897,3660.0
149,bottom,49,2410,3663.0
150,bottom,50,42459,3669.0
151,bottom,51,58372,3672.0
152,bottom,52,35609,3679.0
153,bottom,53,49421,3682.0
154,bottom,54,63025,3685.0
155,bottom,55,23408,3699.0
156,bottom,56,47293,3749.0
157,bottom,57,7484,3761.0
158,bottom,58,10544,3782.0
159,bottom,59,10314,3807.0
160,bottom,60,21866,3809.0
161,bottom,61,48212,3818.0
162,bottom,62,1578,3823.0
163,bottom,63,24865,3826.0
164,bottom,64,21242,3828.0
165,bottom,65,24765,3839.0
166,bottom,66,44458,3841.0
167,bottom,67,31649,3844.0
168,bottom,68,40030,3851.0
169,bottom,69,6782,3858.0
170,bottom,70,27474,3870.0
171,bottom,71,7646,3872.0
172,bottom,72,58421,3911.0
173,bottom,73,34014,3959.0
174,bottom,74,54532,3960.0
175,bottom,75,61332,3972.0
176,bottom,76,56946,3983.0
177,bottom,77,42838,3983.0
178,bottom,78,48849,4000.0
179,bottom,79,11758,4013.0
180,bottom,80,29252,4015.0
181,bottom,81,34161,4024.0
182,bottom,82,50442,4068.0
183,bottom,83,61602,4079.0
184,bottom,84,1844,4097.0
185,bottom,85,14583,4107.0
186,bottom,86,62753,4137.0
187,bottom,87,54856,4149.0
188,bottom,88,55043,4166.0
189,bottom,89,38303,4169.0
190,bottom,90,57696,4170.0
191,bottom,91,60152,4184.0
192,bottom,92,65222,4206.0
193,bottom,93,28428,4222.0
194,bottom,94,2919,4227.0
195,bottom,95,18818,4242.0
196,bottom,96,32240,4260.0
197,bottom,97,64139,4261.0
198,bottom,98,60705,4264.0
199,bottom,99,33219,4265.0
